E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,H
1355.2 3,(17/2+),146.8 3,≤22,E 2,,,
1355.2 3,(17/2+),146.8 3,100 17,E 2,,,
1355.2 3,(17/2+),146.8 3,48 2,E 2,,,
1355.2 3,(17/2+),277 1 ?,87 78,E 2,,,
1355.2 3,(17/2+),277 1 ?,≤22,E 2,,,
1355.2 3,(17/2+),277 1 ?,100 17,E 2,,,
1355.2 3,(17/2+),277 1 ?,48 2,E 2,,,
1355.2 3,(17/2+),459.2 3,87 78,E 2,,,
1355.2 3,(17/2+),459.2 3,≤22,E 2,,,
1355.2 3,(17/2+),459.2 3,100 17,E 2,,,
1355.2 3,(17/2+),459.2 3,48 2,E 2,,,
1355.2 3,(17/2+),651.0 3,87 78,E 2,,,
1355.2 3,(17/2+),651.0 3,≤22,E 2,,,
1355.2 3,(17/2+),651.0 3,100 17,E 2,,,
1355.2 3,(17/2+),651.0 3,48 2,E 2,,,
1450.2 1,9/2+,942.0 2 ?,6.5 20,E 1,,,
1450.2 1,9/2+,942.0 2 ?,100 10,E 1,,,
1450.2 1,9/2+,942.0 2 ?,5.9 20,E 1,,,
1450.2 1,9/2+,942.0 2 ?,<6.5,E 1,,,
1450.2 1,9/2+,942.0 2 ?,14 4,E 1,,,
1450.2 1,9/2+,942.0 2 ?,20 5,E 1,,,
1450.2 1,9/2+,1208.2 2,6.5 20,E 1,,,
1450.2 1,9/2+,1208.2 2,100 10,E 1,,,
1450.2 1,9/2+,1208.2 2,5.9 20,E 1,,,
1450.2 1,9/2+,1208.2 2,<6.5,E 1,,,
1450.2 1,9/2+,1208.2 2,14 4,E 1,,,
1450.2 1,9/2+,1208.2 2,20 5,E 1,,,
1450.2 1,9/2+,1253.0 2,6.5 20,E 1,,,
1450.2 1,9/2+,1253.0 2,100 10,E 1,,,
1450.2 1,9/2+,1253.0 2,5.9 20,E 1,,,
1450.2 1,9/2+,1253.0 2,<6.5,E 1,,,
1450.2 1,9/2+,1253.0 2,14 4,E 1,,,
1450.2 1,9/2+,1253.0 2,20 5,E 1,,,
1450.2 1,9/2+,1343.2 2,6.5 20,E 1,,,
1450.2 1,9/2+,1343.2 2,100 10,E 1,,,
1450.2 1,9/2+,1343.2 2,5.9 20,E 1,,,
1450.2 1,9/2+,1343.2 2,<6.5,E 1,,,
1450.2 1,9/2+,1343.2 2,14 4,E 1,,,
1450.2 1,9/2+,1343.2 2,20 5,E 1,,,
1450.2 1,9/2+,1368.2 2,6.5 20,E 1,,,
1450.2 1,9/2+,1368.2 2,100 10,E 1,,,
1450.2 1,9/2+,1368.2 2,5.9 20,E 1,,,
1450.2 1,9/2+,1368.2 2,<6.5,E 1,,,
1450.2 1,9/2+,1368.2 2,14 4,E 1,,,
1450.2 1,9/2+,1368.2 2,20 5,E 1,,,
1450.2 1,9/2+,1380.3 2,6.5 20,E 1,,,
1450.2 1,9/2+,1380.3 2,100 10,E 1,,,
1450.2 1,9/2+,1380.3 2,5.9 20,E 1,,,
1450.2 1,9/2+,1380.3 2,<6.5,E 1,,,
